project,abstract
การจัดทำคู่มือขั้นตอนการดำเนินการการนำเข้าคราฟท์เบียร์,ผู้วิจัยได้ตระหนักถึงความยุ่งยากของขั้นตอนการนำเข้าคราฟท์เบียร์ของบริษัทที่ได้ทำการฝึกสหกิจ จึงได้รวบรวมข้อมมูลในการจัดทำคู่มือโดยอ้างอิงการจัดทำ คู่มือการดำเนินงานตามมาตรฐานหรือ SOPs ในทำการศึกษาคู่มือการนำเข้าคราฟท์เบียร์ที่ผู้วิจัยเป็นผู้จัดทำ คู่มือเพื่อให้กลุ่มกลุ่มตัวอย่างทั้งสองทำแบบทดสอบหลังจากที่ได้ศึกษาคู่มือการนำเข้าคราฟท์เบียร์ที่ผู้วิจัยเป็นผู้จัดทำ กลุ่มตัวอย่างสามารถทำแบบทดสอบได้คะแนนมากขึ้นอย่างก้าวกระโดด โดยมีค่าเฉลี่ยอยู่ที่ 27 และ 29 คะแนนตามลำดับ และจากฐานนิยมที่แสดงว่ามีกลุ่มตัวอย่างหลายคนที่สามารถทำแบบทดสอบได้ทั้งหมดเต็ม 30 คะแนน จึงสามารถอนุมานได้ว่าคู่มือขั้นตอนการดำเนินการการนำเข้าคราฟท์เบียร์ ที่ผู้วิจัยได้จัดทำสามารถทำให้ผู้ที่ศึกษาได้รับความรู้ในด้านการนำเข้าคราฟท์เบียร์ได้ จากผลการวิจัยที่ได้มานี้เองสามารถนำไปต่อยอดเพื่อจัดทำคู่มือสำหรับวิธีการหรือขั้นตอนที่มีความซับซ้อนให้ง่ายต่อความเข้าใจของบุคคลทั่วไปได้ง่ายยิ่งขึ้น.
การเสนอแนวทางในการพัฒนาและสร้างความสัมพันธ์กับผู้ส่งมอบ (Supplier),"งานวิจัยครั้งนี้มีวัตถุประสงค์เพื่อเสนอแนวทางในในพัฒนาและสร้างความสัมพันธ์ที่เหนียวแน่นกับผู้ส่งมอบ (Supplier) ด้วยการประเมินการปฏิบัติงานและแบ่งเกรดผู้ส่งมอบ ซึ่งถือได้ว่าเป็นกระบวนการที่มีความสำคัญในการจัดซื้อจัดหาและเป็นส่วนหนึ่งในโซ่อุปทาน ที่มีผลกระทบโดยตรงต่อการดำเนินธุรกิจ ซึ่งมีปัจจัยในการประเมินผู้ส่ง) มีทั้งหมด 5 ปัจจัยหลัก 13 ปัจจัยรอง โดย 5 ปัจจัย คือ 1. ด้านคุณภาพของผลิตภัณฑ์ 2. ด้านการจัดส่ง 3. ด้านการบริหาร การแก้ไขปัญหาและความร่วมมือระหว่างองค์กร 4. ด้านความสามารถและสิ่งเกื้อหนุน 5. ด้านเอกสาร และแบ่งออกเป็น 4 เกรด คือ เกรด A, B, C และ D เพื่อปรับปรุงแก้ไขหรือชื่นชม ให้กำลังใจเพื่อสร้างแรงจูงใจ กระตุ้นเพื่อทำให้ผู้ส่งมอบพัฒนากระบวนการส่งมอบ และการจัดส่งสินค้า โดยใช้เครื่องมือแบบประเมินการปฏิบัติ (performance assessment form) ซึ่งมีวิธีพิจารณาประสิทธิภาพของผู้ส่งมอบมาประยุกต์ใช้ในการพิจารณาการทำงานของผู้ส่งมอบ สำหรับบริษัทกรณีศึกษาบริษัทผู้ผลิตสินค้าก๊อกน้ำ ฝักบัวและอุปกรณ์ในห้องน้ำ โดยแผนก TSL มีหน้าที่ในการประเมินขีดความสามารถของผู้ส่งมอบ โดยศึกษาข้อมูลและทำการเก็บข้อมูลเวลาการส่งมอบ คุณภาพของส่วนประกอบ (Component) ความถูกต้องของรายการสินค้าและฉลากและความถูกต้องของเอกสารที่ใช้ในการส่งมอบของผู้ส่งมอบ ในวันที่ 4 มกราคม 2565 จนถึงวันที่ 4 กุมภาพันธ์ 2565"
การพัฒนามาตรฐานรถขนส่งวัตถุอันตรายที่เข้ามาในคลังสินค้า,ดำเนินธุรกิจเป็นผู้นำเข้า และจัดจำหน่ายสินค้ากลุ่ม Chemical Solvent ซึ่งมีคลังสินค้าเพื่อใช้รับและจ่ายผลิตภัณฑ์ ภายในคลังสินค้าจะเป็นที่จัดเก็บผลิตภัณฑ์ประเภทของเหลวไวไฟ หากควบคุมไม่ดีอาจจะเกิดเพลิงไหม้ขึ้น จึงต้องมีการควบคุมดูแลในทุกกระบวนการ เริ่มตั้งแต่การรับผลิตภัณฑ์เข้ามาจนส่งถึงลูกค้า ซึ่งในขั้นตอนการรับผลิตภัณฑ์เคมีที่ขนส่งมาโดยรถขนส่งวัตถุอันตราย ในปัจจุบันยังไม่มีคู่มือมาตรฐานของรถที่จะเข้ามาส่งสินค้าภายในคลังที่เป็นเอกสารอย่างชัดเจน ดังนั้นผู้จัดทำจึงทำการศึกษามาตรฐานข้อกำหนดของรถขนส่งวัตถุอันตรายที่จะเข้ามาปฏิบัติงานภายในคลังสินค้า เพื่อพัฒนามาตรฐานของรถขนส่งที่จะเข้ามารับและส่งสินค้าภายในคลังสินค้า ป้องกันอันตรายที่จะเกิดอุบัติภัยร้ายแรงต่อชีวิตและทรัพย์สิน และรองรับการเติบโตขององค์กรในอนาคต โดยศึกษาข้อมูลที่เกี่ยวข้องกับข้อกำหนด และการควบคุมความปลอดภัยของรถขนส่งวัตถุอันตราย จากกรมควบคุมมลพิษ และกรมการขนส่งทางบก ซึ่งผู้วิจัยได้ทำการศึกษาตามหัวข้อ ดังนี้ ศึกษาหน้าที่ของพนักงานขับรถขนส่งวัตถุอันตราย ศึกษาหน้าที่ของพนักงานขับรถขนส่งวัตถุอันตราย ศึกษาเครื่องมือและอุปกรณ์เพื่อความปลอดภัย จากนั้นนำข้อมูลที่ได้จากการศึกษา สรุปออกมาในรูปแบบของ อินโฟกราฟิกส์ เพื่อให้สะดวกต่อการนำไปใช้งาน จากการศึกษาเพื่อพัฒนามาตรฐานรถขนส่งที่เข้ามาในคลังสินค้า พบว่า ผู้ประกอบการขนส่ง เป็นบุคคลที่มีความสำคัญในการส่งเสริมและควบคุมความปลอดภัยของรถขนส่งวัตถุอันตราย เพื่อให้การดำเนินการขนส่งวัตถุอันตรายเป็นไปอย่างปลอดภัย ดังนั้นผู้ประกอบการขนส่งวัตถุอันตรายจึงควรปฏิบัติหน้าที่ของตนอย่างถูกต้องและเคร่งครัด ต้องมีการขอใบอนุญาตประกอบการขนส่ง และติดตั้งเครื่องหมายและสัญลักษณ์ต่าง ๆ ตามที่กำหนด และต้องควบคุมพนักงานขับรถขนส่งวัตถุอันตรายให้เป็นไปตามข้อกำหนด โดยควรตระหนักถึงความสามารถในการขับรถ รวมถึงความรู้ที่เกี่ยวข้องและต้องใช้ในการปฏิบัติงาน นอกจากนี้ยังควรตระหนักถึงเครื่องมือและอุปกรณ์เพื่อความปลอดภัย โดยจัดเตรียมให้คนขับรถมีอุปกรณ์ป้องกันอันตรายส่วนบุคคลอย่างครบถ้วน รวมถึงอุปกรณ์ฉุกเฉินประจำรถ และสิ่งสำคัญที่รถขนส่งวัตถุอันตรายทุกคันต้องมีคือ ถังดับเพลิง เพื่อใช้สำหรับดับเพลิง กรณีเกิดเพลิงไหม้รถ เพื่อป้องกันอันตราย และลดการสูญเสียจากอุบัติเหตุต่าง ๆ
แนวทางการปรับปรุงกระบวนการการส่งเอกสารใบกำกับภาษีหรือใบแจ้งหนี้ แผนกจัดซื้อและสโตร์,การวิจัยครั้งนี้มีวัตถุประสงค์ เพื่อศึกษาขั้นตอนกระบวนการการจัดส่งใบกำกับภาษีหรือใบแจ้งหนี้ และเสนอแนวทางการลดขั้นตอนระยะเวลาของกระบวนการจัดส่งใบกำกับภาษีหรือใบแจ้งหนี้ไปยังแผนกบัญชีของแผนกจัดซื้อและสโตร์ บริษัท (ประเทศไทย) โดยมีการประยุกต์ใช้ทฤษฎีและหลักการการเขียนแผนภาพลำดับขั้นตอนการทำงาน เพื่อให้เห็นถึงกระบวนการในการทำงานแต่ละขั้นตอนที่ชัดเจนและหาข้อบกพร่องของปัญหาในขั้นตอนการทำงาน ร่วมกับการสร้างแผนภูมิการไหลเพื่อวิเคราะห์คุณค่าของกิจกรรมในแต่ละขั้นตอนก่อนและหลังการปรับปรุง โดยใช้หลักการ ECRS เพื่อค้นหาแนวทางการปรับปรุง เปลี่ยนแปลง และแก้ปัญหาด้วยการกำจัดส่วนที่ไม่จำเป็นออก การรวมกระบวนการทำงานเข้าด้วยกัน การจัดลำดับกระบวนการทำงาน และการทำขั้นตอนการทำงานให้เรียบง่าย เพื่อการปรับปรุงกระบวนการทำงานให้มีความรวดเร็วและจัดทำกระบวนการทำงานในรูปแบบใหม่ ผลการศึกษา พบว่า สามารถลดขั้นตอนการทำงานในการจัดส่งเอกสารใบกำกับภาษีหรือใบแจ้งหนี้ไปยังแผนกบัญชี ก่อนการปรับปรุงกระบวนการมีขั้นตอนทั้งหมด 22 ขั้นตอน เฉลี่ยเวลารวม 7.47 นาที/ฉบับ หลังการปรับปรุงกระบวนการมีขั้นตอนทั้งหมด 17 ขั้นตอน เฉลี่ยเวลารวม 6.27 นาที/ฉบับ โดยสามารถลดระยะเวลาได้ 1.20 นาที/ฉบับ ซึ่งในการปรับปรุงครั้งนี้เป็นมีการรวมขั้นตอนบางขั้นตอนที่สามารถทำงานร่วมกันได้มาอยู่ในขั้นตอนเดียวกันและกำจัดขั้นตอนที่ไม่จำเป็นออกไปจากกระบวนการทำงานซึ่งสามารถกำจัดขั้นตอนการทำงานไปได้ทั้งหมด 5 ขั้นตอน
การศึกษาเทคนิคการพยากรณ์ยอดขายสายไฟที่เหมาะสม,"จากสถานการณ์การแพร่ระบาดของเชื้อไวรัสโคโรนา 2019 (โควิด-19) ผู้คนลดการเดินทางเพื่อลดการแพร่ระบาดของเชื้อไวรัสโคโรนา ส่งผลกระทบภาคการผลิตของอุตสาหกรรมยานยนต์ บริษัทกรณีศึกษาซึ่งเป็นบริษัทผู้ผลิตสายไฟฟ้าในธุรกิจยานยนต์ได้รับผลกระทบจากความต้องการสั่งซื้อที่ผันผวนส่งผลต่อเนื่องต่อการบริหารจัดการสินค้าคงคลัง จึงเริ่มพัฒนาประสิทธิภาพในการพยากรณ์ยอดขายในอนาคต เพื่อลดต้นทุนในการจัดเก็บและเพิ่มความพึงพอใจของลูกค้า บริษัทกรณีศึกษาได้ใช้เทคนิค Simple moving average แบบใช้ข้อมูลย้อนหลัง 3 เดือนในการพยากรณ์ยอดขายในปัจจุบันและจะทำการจัดกลุ่มด้วยระบบเอบีซี (ABC Analysis) เพื่อกำหนดปริมาณสินค้าตามระดับความสำคัญ โดยสินค้ากลุ่ม A เป็นสินค้าที่สำคัญที่สุด เนื่องจากมียอดขายมากที่สุด โดยจะทำการผลิตสินค้ากลุ่มดังกล่าวในปริมาณมากที่สุดและจะจัดเก็บในบริเวณที่สะดวกต่อการเคลื่อนย้าย ผู้วิจัยจึงมีความสนใจในการศึกษาเทคนิคในการพยากรณ์ที่มีความเหมาะสมที่สุดเพื่อช่วยให้การพยากรณ์ยอดขายของบริษัทกรณีศึกษามีประสิทธิภาพมากขึ้น ผู้วิจัยได้เลือกเทคนิคการพยากรณ์ทั้งหมด 7 เทคนิค ได้แก่ 1. เทคนิค Naive Approach, 2. เทคนิค Simple Moving Average, 3. เทคนิค Weighted Moving Average, 4. เทคนิค Single Exponential Smoothing, 5. เทคนิค Double Exponential Smoothing, 6. เทคนิค Exponential Smoothing with Trend Adjustment และ 7. เทคนิค Exponential Smoothing Adjusted for Trend and Seasonal Variation (Winters’ Method) โดยใช้ข้อมูลยอดขายรายเดือนของสายไฟส่งออกต่างประเทศกลุ่ม A ซึ่งได้จากการจัดกลุ่มเอบีซี (ABC Analysis) นั้นก็คือสายไฟ Y1 และ Y2 โดยใช้ข้อมูลตั้งแต่เดือนมกราคม พ.ศ. 2562 ถึง เดือนธันวาคม พ.ศ. 2564 มาเป็นข้อมูลในการหาค่าพยากรณ์ จากนั้นนำค่าพยากรณ์ของแต่ละเทคนิคมาทำการหาค่าเฉลี่ยของค่าสัมบูรณ์ร้อยละความคลาดเคลื่อน (MAPE) โดยใช้ข้อมูลยอดขายของเดือนมิถุนายน ถึง เดือนธันวาคม ปี พ.ศ. 2564 มาหาเทคนิคการพยากรณ์ที่ได้ค่า MAPE ต่ำที่สุดซึ่งเป็นเทคนิคการพยากรณ์ที่เหมาะสมที่สุดสำหรับข้อมูล โดยจากการคำนวณหาค่า MAPE เทคนิค Exponential Smoothing with Trend Adjustment ได้ค่า MAPE ที่ต่ำที่สุด ซึ่งได้ค่า MAPE ของค่าพยากรณ์สายไฟ Y1 เท่ากับร้อยละ 38.90 และสายไฟ Y2 เท่ากับร้อยละ 34.75"
การเพิ่มประสิทธิภาพกระบวนการทำงานภายในแผนกส่งออก,โครงงานฉบับนี้เป็นส่วนหนึ่งของวิชา สหกิจศึกษา 91030459 (Cooperative Education) ที่เป็นโอกาสให้นิสิตปฏิบัติงานกับสถานประกอบการจริง การฝึกงานในครั้งนี้ผู้วิจัยได้เลือกหัวข้อ การเพิ่มประสิทธิภาพกระบวนการทำงานภายในแผนกส่งออก โดยมีวัตถุประสงค์เพื่อศึกษาขั้นตอนการทำงานภายในแผนกส่งออกและเพื่อศึกษาปัญหาในขั้นตอนการทำงานภายในแผนกส่งออกและเพื่อเสนอแนวทางในการเพิ่มประสิทธิภาพในขั้นตอนการทำงานให้กับแผนกส่งออก จากการที่ได้เข้าไปปฏิบัติงานในโครงการสหกิจศึกษา ณ ผู้วิจัยได้รับมอบหมายให้ปฏิบัติหน้าที่ในแผนก Warehouse & Export ซึ่งมีความรับผิดชอบในการคีย์ข้อมูลเอกสาต่าง ๆ ดังนั้นผู้วิจัยจึงศึกษาเกี่ยวกับปัญหาในการดำเนินงานภายในแผนกส่งออกที่มีการดำเนินงานที่ซ้ำซ้อนกันในขั้นตอน เดิม ๆ และมีการใช้ปริมาณกระดาษในการจัดทำเอกสารส่งออกเป็นจำนวนมาก โดยทำการรวบรวมข้อมูลกระบวนการทำงานทั้งหมดตั้งแต่วางแผนการทำงานตลอดจนจัดทำเอกสารส่งออกรวมไปถึงขั้นตอนสุดท้ายปล่อยตู้ออกจากโรงงานและทำการเปรียบเทียบก่อนและหลังปรับปรุง พบว่าสามารถลดจำนวนปริมาณของกระดาษที่ใช้ในการจัดทำเอกสารส่งออกได้
การเพิ่มประสิทธิภาพการปฏิบัติการงานขาออก,"งานวิจัยนี้มีวัตถุประสงค์เพื่อศึกษากระบวนการทำงาน ปรับปรุงการจัดวางตำแหน่งของศูนย์ไปรษณีย์ปลายทางและเพิ่มประสิทธิภาพการปฏิบัติการงานขาออก กรณีศึกษา ที่ทำการไปรษณีย์ลำดวน ทำการวิเคราะห์ข้อมูลโดยใช้เทคนิค (Why-Why Analysis) และแผนผังก้างปลา (Fishbone Diagram) เพื่อหาสาเหตุของปัญหาและแก้ไขปรับปรุงการจัดวางตำแหน่งศูนย์ไปรษณีย์ปลายทางโดยการวิเคราะห์แบบ (ABC Analysis) แบ่งกลุ่มตามจำนวนพัสดุของแต่ละศูนย์ไปรษณีย์ปลายทางเรียงลำดับจากศูนย์ที่มีจำนวนพัสดุมากไปน้อย แบ่งออกเป็น 3 กลุ่ม คือ A, B และ C ตามลำดับจำนวนพัสดุ วิเคราะห์พื้นที่ปฏิบัติงานเพื่อจัดวางตำแหน่งศูนย์ไปรษณีย์ปลายทางได้อย่างเหมาะสม จัดหากระบะสำหรับคัดแยกพัสดุ จัดทำป้ายบงชี้ศูนย์ไปรษณีย์ปลายทาง และจัดทำรถเข็นสำหรับการปฏิบัติการงานขาออก เพื่อให้เกิดประสิทธิภาพมากขึ้นในการปฏิบัติงาน จากการเปรียบเทียบกระบวนการทำงานก่อนและหลังปรับปรุง โดยใช้แผนภูมิการไหลของงาน (Flow Process Chart) ช่วยลดระยะเวลาการปฏิบัติงานและเพิ่มขั้นตอนการทำงาน 2 ขั้นตอน เพื่อเพิ่มประสิทธิภาพกระบวนการทำงาน จาก 12 ขั้นตอน เป็น 14 ขั้นตอน โดยเวลาการทำงานทั้งหมดก่อนปรับปรุงใช้เวลา 423 นาที 55 วินาที และหลังปรับปรุงใช้เวลา 409 นาที 55 วินาที ทำให้เวลาลดลง 16 นาที 20 วินาที"
การปรับปรุงกระบวนการคลังสินค้า,การวิจัยครั้งนี้เป็นการศึกษาเรื่องการปรับปรุงกระบวนการคลังสินค้า กรณีศึกษา บริษัทตัวแทนผู้ส่งสินค้า โดยมีวัตถุประสงค์เพื่อศึกษากระบวนการในการบริหารจัดการคลังสินค้า และศึกษาปัญหาที่เกิดขึ้นและวิเคราะห์หาสาเหตุ เพื่อหาวิธีการแก้ไขปัญหาและลดความผิดพลาดในการบริหารจัดการคลังสินค้า การบริหารจัดการระบบคลังสินค้า ของบริษัทกรณีศึกษาในปัจจุบันประสบปัญหาในการจัดการคลังสินค้าเกิดขึ้นเป็นจำนวนมาก เช่น การหยิบสินค้าผิดจำนวน พนักงานวางของผิดตำแหน่ง การทำเอกสารผิดพลาด เป็นต้น จากความผิดพลาดเหล่านี้ทำให้สินค้าโดนตีกลับจากปลายทาง และส่งผลให้เกิดต้นทุนในการขนส่งที่เพิ่มขึ้นจากการตีกลับของสินค้า คณะผู้วิจัยได้นำปัญหาที่เกิดขึ้นไปวิเคราะห์หาสาเหตุโดยใช้เทคนิค Why-Why Analysis ทำให้ทราบถึงสาเหตุของปัญหาที่เกิดขึ้นในกระบวนการจัดการคลังสินค้า โดยพบว่าปัญหาหลักที่เกิดขึ้นคือ การจัดการคลังสินค้าไม่เป็นระบบ คณะผู้วิจัยจึงนำปัญหาหลักนี้มาวิเคราะห์ต่อโดยใช้เครื่องมือแผนผังก้างปลา (Fishbone Diagram) จากนั้นได้ทำการเก็บรวบรวมและบันทึกข้อมูล รวมไปถึงระยะเวลาในการทำงานของแต่ละขั้นตอน เพื่อนำแนวทางการแก้ไขปัญหาที่ได้จากการใช้เครื่องมือวิเคราะห์ปัญหาด้วยเทคนิค (Why-Why Analysis) และแผนผังก้างปลา (Fishbone Diagram) มาปรับปรุงขั้นตอนในกระบวนการทำงาน โดยเขียนเป็นแผนภาพกระบวนการไหล (Flow Process Chart) จากการเปรียบเทียบกระบวนการทำงานการจัดการสินค้าพบว่า สามารถลดระยะเวลาการปฏิบัติงาน และเพิ่มขั้นตอนการทำงาน 1 ขั้นตอน เพื่อลดความผิดพลาดจาก 9 ขั้นตอนเป็น 10 ขั้นตอน โดยเวลาการทำงานทั้งหมดก่อนปรับปรุงใช้เวลา 76 นาที และหลังปรับปรุงใช้เวลา 68 นาที ทำให้เวลาลดลง 8 นาที คิดเป็นร้อยละ 10.53
การศึกษาและหาแนวทางเพิ่มประสิทธิภาพกระบวนการจัดทำ Vanning Plan,งานวิจัยนี้มีวัตถุประสงค์เพื่อศึกษากระบวนการทำ Vanning Plan และเพื่อศึกษาปัญหาและหาแนวทางในการจัดทำ Vanning Plan ให้มีประสิทธิภาพ โดยการวิเคราะห์กระบวนการทำ Vanning Plan ทำให้พบปัญหาการจัดทำ Vanning Plan ไม่ทันเวลา ผู้วิจัยจึงใช้แผนผังก้างปลา (fishbone diagram) และแนวคิดวงจรคุณภาพเดมมิ่ง (PDCA) มาประยุกต์ใช้ในการหาสาเหตุและแนวทางในการแก้ไขปัญหาที่เกิดขึ้น โดยได้ทำไฟล์เอกสารชื่อว่า Master New VanPlan Form เข้ามาช่วยในการคำนวณและจัดทำรูปภาพพาเลทจำลองลงในตู้คอนเทนเนอร์ ผลของการดำเนินงานพบว่าสามารถลดปัญหาในการจัดทำ Vanning Plan ไม่ทันเวลาได้ โดยไม่พบปัญหาในการจัดทำ Vanning Plan ไม่ทันเวลา หรือคิดเป็น 100% เมื่อนำไปเปรียบเทียบกับสองเดือนย้อนหลัง
การศึกษาเรื่องความพึงพอใจของประชาชนที่มาขอรับบริการสำนักงานสรรพากรพื้นที่สาขาเมืองชลบุรี,"งานวิจัยนี้ได้ศึกษา ""ความพึงพอใจของประชาชนที่มาขอรับบริการ 2"" วัตถุประสงค์ของการศึกษา 1)เพื่อศึกษาความพึงพอใจของประชาชนที่มีต่อการให้บริการ ด้านการให้บริการของเจ้าหน้าที่,ด้านกระบวนการ/ขั้นตอนการให้บริการและ ด้านสิ่งอำนวยความสะดวกของงานแบบแสดงรายการภาษี 2)เพื่อเปรียบเทียบความพึงพอใจของประชาชนที่มาขอรับบริการข้อมูลสำเนาแบบแสดงรายการภาษีสำนักงานสรรพากรพื้นที่สาขาเมืองชลบุรี จำแนกเพศ อายุ รายได้เฉลี่ยต่อเดือน และอาชีพ การวิเคราะห์โดยใช้ข้อมูลสถิติพรรณนา ได้แก่ ค่าร้อยละ ค่าเฉลี่ย ส่วนเบี่ยงเบนมาตรฐาน มีการทดสอบสมมติฐานเพื่อวิเคราะห์ข้อมูลส่วนบุคคลกับความพึงพอใจของประชาชนที่มาขอรับบริการ โดยใช้ค่าสถิติ t-test และค่าสถิติ ANOVA"
