classifier,tokenizer,max_features,max_df,accuracy
neural network,thai_preprocess,5000.0,0.9,0.5882352941176471
neural network,wangchan,7000.0,0.9,0.5784313725490197
neural network,wangchan,5000.0,0.8,0.5718954248366013
neural network,wangchan,No Max Features,0.9,0.5718954248366013
neural network,thai_preprocess,No Max Features,0.9,0.5653594771241831
neural network,thai_preprocess,7000.0,0.9,0.5555555555555555
neural network,wangchan,7000.0,0.8,0.5424836601307189
neural network,thai_preprocess,5000.0,0.8,0.5392156862745098
neural network,wangchan,5000.0,0.9,0.5392156862745098
neural network,thai_preprocess,No Max Features,0.8,0.5359477124183006
neural network,wangchan,No Max Features,0.8,0.5163398692810458
neural network,thai_preprocess,7000.0,0.8,0.4836601307189543
